geometry,timestamp,violence
POINT (-58.4355 -34.5876),2016-10-22 01:30:00,Robo
POINT (-58.4302 -34.5569),2016-10-22 23:30:00,Robo
POINT (-58.428 -34.6146),2016-10-22 05:30:00,Robo
POINT (-58.4219 -34.6063),2016-10-22 22:27:00,Robo
POINT (-58.4205 -34.5738),2016-10-22 22:00:00,Robo
POINT (-58.4198 -34.5726),2016-10-22 02:30:00,Robo
POINT (-58.4165 -34.6091),2016-10-22 08:00:00,Robo
POINT (-58.4164 -34.6104),2016-10-22 22:10:00,Robo
POINT (-58.4155 -34.5854),2016-10-22 02:30:00,Robo
POINT (-58.4147 -34.6075),2016-10-22 03:06:00,Robo
POINT (-58.4124 -34.5711),2016-10-22 06:15:00,Robo
POINT (-58.4124 -34.6037),2016-10-22 06:30:00,Robo
POINT (-58.4118 -34.5899),2016-10-22 22:20:00,Robo
POINT (-58.4101 -34.6328),2016-10-22 05:00:00,Robo
POINT (-58.4095 -34.6099),2016-10-22 22:30:00,Robo
POINT (-58.4092 -34.6087),2016-10-22 06:10:00,Robo
POINT (-58.4075 -34.6121),2016-10-22 03:00:00,Robo
POINT (-58.4066 -34.6084),2016-10-22 22:00:00,Robo
POINT (-58.4028 -34.6193),2016-10-22 01:15:00,Robo
POINT (-58.402 -34.6219),2016-10-22 00:30:00,Robo
POINT (-58.3924 -34.5843),2016-10-22 01:00:00,Robo
POINT (-58.3852 -34.6129),2016-10-22 23:30:00,Robo
POINT (-58.3834 -34.6274),2016-10-22 06:00:00,Robo
POINT (-58.3828 -34.6273),2016-10-22 22:20:00,Robo
POINT (-58.3826 -34.6069),2016-10-22 23:50:00,Robo
POINT (-58.3808 -34.6259),2016-10-22 02:00:00,Robo
POINT (-58.3793 -34.6049),2016-10-22 23:00:00,Robo
POINT (-58.3766 -34.6146),2016-10-22 07:00:00,Robo
POINT (-58.3765 -34.617),2016-10-22 01:30:00,Robo
POINT (-58.3739 -34.6122),2016-10-22 04:00:00,Robo
POINT (-58.3731 -34.6264),2016-10-22 23:30:00,Robo
POINT (-58.3709 -34.6015),2016-10-22 22:30:00,Robo
POINT (-58.4653 -34.6874),2016-10-22 00:30:00,Robo
POINT (-58.4729 -34.6844),2016-10-22 07:00:00,Robo
POINT (-58.4874 -34.6783),2016-10-22 23:50:00,Robo
POINT (-58.4437 -34.6645),2016-10-22 22:30:00,Robo
POINT (-58.4529 -34.6626),2016-10-22 05:00:00,Robo
POINT (-58.44600000000001 -34.6583),2016-10-22 08:00:00,Robo
POINT (-58.5198 -34.6546),2016-10-22 00:00:00,Robo
POINT (-58.438 -34.6469),2016-10-22 06:30:00,Robo
POINT (-58.4845 -34.5498),2016-10-22 00:00:00,Robo
POINT (-58.4798 -34.5466),2016-10-22 00:00:00,Robo
POINT (-58.4758 -34.5623),2016-10-22 00:00:00,Robo
POINT (-58.432 -34.6487),2016-10-22 00:00:00,Robo
POINT (-58.428 -34.6435),2016-10-22 22:00:00,Robo
POINT (-58.3551 -34.6368),2016-10-22 22:00:00,Robo
POINT (-58.4036 -34.6362),2016-10-21 23:00:00,Robo
POINT (-58.4735 -34.6327),2016-10-21 23:30:00,Robo
POINT (-58.4221 -34.6319),2016-10-21 23:55:00,Robo
POINT (-58.4119 -34.598),2016-10-21 22:30:00,Robo
POINT (-58.45 -34.5663),2016-10-21 22:00:00,Robo
POINT (-58.488 -34.5651),2016-10-21 22:00:00,Robo
POINT (-58.453 -34.5991),2016-10-21 22:30:00,Robo
POINT (-58.4399 -34.6313),2016-10-21 22:00:00,Robo
POINT (-58.4329 -34.5953),2016-10-21 22:00:00,Robo
POINT (-58.4295 -34.6233),2016-10-21 22:45:00,Robo
POINT (-58.4258 -34.5835),2016-10-21 22:30:00,Robo
POINT (-58.4257 -34.5988),2016-10-21 22:30:00,Robo
POINT (-58.4125 -34.6272),2016-10-21 22:10:00,Robo
POINT (-58.4018 -34.6232),2016-10-21 22:10:00,Robo
POINT (-58.3994 -34.5993),2016-10-21 22:00:00,Robo
POINT (-58.3984 -34.5921),2016-10-21 23:30:00,Robo
POINT (-58.3941 -34.5852),2016-10-21 22:50:00,Robo
POINT (-58.3871 -34.5924),2016-10-21 23:00:00,Robo
POINT (-58.3863 -34.6257),2016-10-21 22:00:00,Robo
POINT (-58.3721 -34.6305),2016-10-21 23:00:00,Robo
POINT (-58.4906 -34.664),2016-10-21 22:00:00,Robo
POINT (-58.5053 -34.661),2016-10-21 22:20:00,Robo
POINT (-58.5089 -34.649),2016-10-21 22:00:00,Robo
POINT (-58.3949 -34.6201),2016-10-16 05:00:00,Robo
POINT (-58.3924 -34.5843),2016-10-16 03:30:00,Robo
POINT (-58.3923 -34.6291),2016-10-16 22:00:00,Robo
POINT (-58.3916 -34.621),2016-10-16 22:20:00,Robo
POINT (-58.3841 -34.6071),2016-10-16 23:15:00,Robo
POINT (-58.3834 -34.6274),2016-10-16 05:10:00,Robo
POINT (-58.3833 -34.6286),2016-10-16 05:00:00,Robo
POINT (-58.3818 -34.5983),2016-10-16 04:00:00,Robo
POINT (-58.3796 -34.6137),2016-10-16 07:00:00,Robo
POINT (-58.3751 -34.6281),2016-10-16 02:00:00,Robo
POINT (-58.3749 -34.5961),2016-10-16 06:00:00,Robo
POINT (-58.3748 -34.6215),2016-10-16 00:00:00,Robo
POINT (-58.3746 -34.6006),2016-10-16 01:00:00,Robo
POINT (-58.3709 -34.6155),2016-10-16 06:30:00,Robo
POINT (-58.369 -34.6207),2016-10-16 02:35:00,Robo
POINT (-58.4952 -34.6708),2016-10-16 01:10:00,Robo
POINT (-58.4525 -34.6622),2016-10-16 04:00:00,Robo
POINT (-58.4723 -34.6592),2016-10-16 22:00:00,Robo
POINT (-58.4589 -34.6566),2016-10-16 04:00:00,Robo
POINT (-58.4692 -34.6553),2016-10-16 06:30:00,Robo
POINT (-58.44 -34.6492),2016-10-16 23:00:00,Robo
POINT (-58.4719 -34.6477),2016-10-16 23:50:00,Robo
POINT (-58.451 -34.5805),2016-10-16 04:30:00,Robo
POINT (-58.3728 -34.589),2016-10-16 03:25:00,Robo
POINT (-58.4552 -34.5849),2016-10-16 05:40:00,Robo
POINT (-58.4843 -34.5689),2016-10-16 00:00:00,Robo
POINT (-58.5048 -34.5756),2016-10-16 00:00:00,Robo
POINT (-58.5029 -34.5793),2016-10-16 00:00:00,Robo
POINT (-58.4515 -34.5923),2016-10-16 07:00:00,Robo
POINT (-58.4944 -34.5666),2016-10-16 00:00:00,Robo
POINT (-58.3811 -34.6185),2016-10-16 07:00:00,Robo
POINT (-58.3579 -34.637),2016-10-16 02:45:00,Robo
POINT (-58.4676 -34.6456),2016-10-16 08:00:00,Robo
POINT (-58.4952 -34.6451),2016-10-16 07:00:00,Robo
POINT (-58.4467 -34.6441),2016-10-16 03:30:00,Robo
POINT (-58.4733 -34.643),2016-10-16 05:00:00,Robo
POINT (-58.4506 -34.6417),2016-10-16 01:30:00,Robo
POINT (-58.5017 -34.6398),2016-10-16 00:00:00,Robo
POINT (-58.5193 -34.6386),2016-10-16 07:00:00,Robo
POINT (-58.4456 -34.6381),2016-10-16 00:30:00,Robo
POINT (-58.4847 -34.6375),2016-10-16 22:00:00,Robo
POINT (-58.5286 -34.6367),2016-10-16 02:00:00,Robo
POINT (-58.4986 -34.6365),2016-10-16 23:50:00,Robo
POINT (-58.5275 -34.6342),2016-10-16 08:00:00,Robo
POINT (-58.4211 -34.6341),2016-10-16 05:00:00,Robo
POINT (-58.4688 -34.6333),2016-10-16 01:30:00,Robo
POINT (-58.4691 -34.6329),2016-10-16 02:00:00,Robo
POINT (-58.4607 -34.6303),2016-10-16 02:00:00,Robo
POINT (-58.4647 -34.6288),2016-10-16 23:00:00,Robo
POINT (-58.4839 -34.6265),2016-10-16 23:00:00,Robo
POINT (-58.5133 -34.6195),2016-10-16 22:00:00,Robo
POINT (-58.5191 -34.6172),2016-10-16 23:15:00,Robo
POINT (-58.4908 -34.5968),2016-10-16 04:30:00,Robo
POINT (-58.3725 -34.5872),2016-10-16 22:00:00,Robo
POINT (-58.4562 -34.5759),2016-10-16 22:30:00,Robo
POINT (-58.4618 -34.5758),2016-10-16 01:00:00,Robo
POINT (-58.4693 -34.5673),2016-10-16 22:00:00,Robo
POINT (-58.4682 -34.5584),2016-10-16 00:30:00,Robo
POINT (-58.4672 -34.6102),2016-10-16 23:00:00,Robo
POINT (-58.4522 -34.5834),2016-10-16 23:00:00,Robo
POINT (-58.4492 -34.6019),2016-10-16 23:00:00,Robo
POINT (-58.4474 -34.5515),2016-10-16 00:20:00,Robo
POINT (-58.4466 -34.6254),2016-10-16 05:15:00,Robo
POINT (-58.4319 -34.6194),2016-10-16 06:00:00,Robo
POINT (-58.4313 -34.5819),2016-10-16 05:30:00,Robo
POINT (-58.4293 -34.5886),2016-10-16 03:15:00,Robo
POINT (-58.4234 -34.6055),2016-10-16 22:00:00,Robo
POINT (-58.4221 -34.6081),2016-10-16 04:00:00,Robo
POINT (-58.4165 -34.5907),2016-10-16 05:28:00,Robo
POINT (-58.4158 -34.59),2016-10-16 00:10:00,Robo
POINT (-58.4136 -34.6024),2016-10-16 03:00:00,Robo
POINT (-58.4124 -34.6088),2016-10-16 06:30:00,Robo
POINT (-58.4124 -34.6037),2016-10-16 07:00:00,Robo
POINT (-58.4101 -34.5687),2016-10-16 05:00:00,Robo
POINT (-58.41 -34.6048),2016-10-16 22:15:00,Robo
POINT (-58.4077 -34.5913),2016-10-16 01:00:00,Robo
POINT (-58.4054 -34.6198),2016-10-16 22:30:00,Robo
POINT (-58.4726 -34.616),2016-10-15 23:30:00,Robo
POINT (-58.4608 -34.6182),2016-10-15 01:30:00,Robo
POINT (-58.4517 -34.5813),2016-10-15 04:30:00,Robo
POINT (-58.4465 -34.6269),2016-10-15 02:11:00,Robo
POINT (-58.4422 -34.6241),2016-10-15 02:00:00,Robo
POINT (-58.441 -34.6215),2016-10-15 23:00:00,Robo
POINT (-58.4379 -34.6345),2016-10-15 22:45:00,Robo
POINT (-58.4368 -34.6241),2016-10-15 08:00:00,Robo
POINT (-58.4349 -34.6254),2016-10-15 22:30:00,Robo
POINT (-58.4309 -34.5925),2016-10-15 01:10:00,Robo
POINT (-58.4305 -34.5948),2016-10-15 05:20:00,Robo
POINT (-58.4289 -34.5882),2016-10-15 07:10:00,Robo
POINT (-58.4226 -34.6226),2016-10-15 07:00:00,Robo
